,pt,es
we're the--mario brothers,os irmãos mario--são super,yo soy luigi--mama mia
what?--what????,que?--que???,que?--que???
shoutouts to--GP,abraços a--GP,gracias a--GP
give my--bread back,Me devolve--meu pão,devolva mi pan
I think. Therefore--I stink.,Penso--logo fedo.,Pienso--luego apesto.
pain--agony even,dor--e sofrimento,dolor y sufrimiento
Calm down--it's starting,Calma né porra--O jogo já abre,cálmate--está a punto de empezar
oh.... akward...,oh....--esquisito...,oh....--stranho...
five nights--at fedys,cinco noitadas--com frederico,cinco noches en fedy
welcome to my--super gaming house,olá e bem vindo a--minha casa de jogos
despite everything--funkin' forever
cheeseburgers--are top tier
shadow mario--wikihow
shoutouts to--jesus
you cannot--beat us